"key","userSays"
"NEW_TUCKER_HOWLONGWORKBETSY","[""how long have you worked with Betsy"",""how long have you worked with Betsy""]"
"NEW_WHEREFATHERLASTNIGHT","[""where was your father last night"",""where was your father last night"",""where was your father last night""]"
"NEW_KNOWOTHERSUSPECT","[""do you know Brandy""]"
"NEW_CONSTANCE_HOWKNOWTUCKER","[""how do you know Tucker""]"
"NEW_WHOISBETSY","[""who's Betsy again""]"
"NEW_BRANDINIGHTOF","[""what did you and your boyfriend do the night Betsy die"",""what did you and your boyfriend do the night Betsy die""]"
"NEW_KNOWCONSTANCE","[""do you know Constance"",""do you know Constance"",""do you know Constance"",""do you know Constance""]"
"NEW_KNOWPETE","[""do you know Pete"",""do you know Pete"",""do you know Pete"",""do you know Pete"",""do you know Pete"",""do you know Pete""]"
"NEW_WHEREOTHERSUSPECT","[""Tucker when did you last see your girlfriend"",""do you know where brandi was last night?"",""where was tucker last night?"",""Tucker when did you last see your girlfriend"",""Tucker when did you last see your girlfriend"",""do you know where brandi was last "",""do you know where brandi was last "",""where was tucker last night?""]"
"NEW_BRANDI_WHENFIRED","[""when did you get fired"",""when did you get fired""]"
"NEW_PETE_DIDBETSYHATEBRANDI","[""did betsy hate brandi?"",""did betsy hate brandi?""]"
"NEW_CONST_WHYBRANDYROUGH","[""Constance why you think she's rough around the edges"",""Constance why you think she's rough around the edges""]"
"NEW_BRANDY_WHENWORKBETSY","[""Brandy when did you work for the barbeque"",""Brandy when did you work for the barbeque""]"
"NEW_WHATABOUTDAD","[""what about your dad""]"
"NEW_DIDBRANDYGOTOSLEEP","[""did Brandy go to sleep"",""on the night of the murder when you were with Brandi did she go to sleep"",""was Brandi asleep"",""did Brandy go to sleep"",""on the night of the murder when you were with Brandi did she go to sleep"",""was Brandi asleep"",""did Brandy go to sleep"",""on the night of the murder when you were with Brandi did she go to sleep"",""was ""]"
"NEW_TALKTOBETSY","[""let's talk to Betsy"",""let's talk to Betsy""]"
"NEW_TUCKER_CONSTANCE_FIRED_BRANDI","[""how did Betsy embarrass her"",""what did Betsy do"",""how did Betsy embarrass her""]"
"NEW_BRANDI_LIKEGRANDMOTHER","[""Brandy do you like your grandmother"",""Brandy do you like your grandmother""]"
"NEW_CONST_LIKEGRANDDAUGHTER","[""Constance did you like your granddaughter"",""Constance did you like brandy"",""constant constant what is your relationship with brandy"",""Constance did you like your granddaughter"",""Constance did you like brandy"",""constant constant what is your relationship with brandy""]"
"NEW_DIDBETSYCONSTNOTLIKEEACHOTHER","[""did you see any issues between Betsy and Constance"",""did you see any issues between Betsy and Constance""]"
"NEW_BRANDI_TIMEATBF","[""brandi what time were you at your boyfriend's?"",""brandi what time were you at your boyfriend's?""]"
"NEW_TALKTOPETE","[""go to talk to your father"",""go to talk to your father"",""go to talk to your father""]"
"NEW_CONST_ALONEALIBI","[""were you alone that night"",""Constance where you alone tonight that's he died"",""were you alone that night"",""Constance where you alone tonight that's he died""]"
"NEW_BRANDI_DIDYOUGETFIRED","[""did you get fired from Betsy's BBQ"",""what did besty do?"",""did you get fired from Betsy's BBQ""]"
"NEW_TUCKER_WHYHILARIOUSCONSTANCE","[""why would it be hilarious""]"
"NEW_WHATTHINKCONSTANCE","[""Tucker what do you think of constance"",""Tucker what do you think of constance""]"
"NEW_WHYBETSYMURDERED","[""why do you think Betsy was murdered"",""why do you think Betsy was murdered"",""why do you think Betsy was murdered"",""why do you think Betsy was murdered""]"
"NEW_WHENBESTYFINDOUTBRANDI","[""when did she find out that Brandi was Pete's daughter"",""when did Betsy find out that bet that Brandy is Pete's daughter""]"
"NEW_RELATIONSHIPCONSTANCE","[""Tucker what's your relationship with Constance"",""Tucker what's your relationship with Constance""]"
"NEW_BRANDI_BFCONFIRM","[""can your boyfriend confirm you were there?"",""can your boyfriend confirm you were there?""]"
"NEW_PETE_WHATDAUGHTERRAMBLING","[""what what was your daughter rambling about"",""what what was your daughter rambling about""]"
"NEW_BRANDI_LEAVELASTNIGHT","[""you didn't leave at all"",""did you leave at any time""]"
"NEW_WHATRELATIONSHIPTUCKER","[""what's your relationship with Tucker"",""what's your relationship with Tucker"",""what's your relationship with Tucker""]"
"NEW_PETE_WHYBRANDICALL","[""why did she call you"",""what is she call you about""]"
"NEW_CONST_WEREHOMEALLNIGHT","[""you stayed home in the whole night"",""you stayed home in the whole night"",""you stayed home in the whole night"",""you stayed home in the whole night"",""you stayed home in the whole night""]"
"NEW_GETALONGBETSY","[""do you have a good relationship with besty?""]"
"NEW_BRANDIBFSUSPICIOUS","[""is Brandy's boyfriend suspicious seem suspicious"",""is Brandy's boyfriend suspicious seem suspicious""]"
